;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59295.357755	0.04167	16.303	16.264	16.342	18.03596	B	m3_data/M3-2_20210322_083510_Mar1mjdr_kait_B_c.fit
59295.358657	0.04167	15.929	15.897	15.961	17.93297	V	m3_data/M3-2_20210322_083628_Mar1mjeg_kait_V_c.fit
59295.359502	0.04167	15.651	15.615	15.687	17.81839	R	m3_data/M3-2_20210322_083741_Mar1mjev_kait_R_c.fit
59295.360405	0.04167	15.342	15.297	15.387	17.1527	I	m3_data/M3-2_20210322_083859_Mar1mjfk_kait_I_c.fit
59295.362118	0.04167	16.246	16.203	16.289	18.05998	B	m3_data/M3-2_20210322_084127_Mar1mjgp_kait_B_c.fit
59295.363021	0.04167	15.939	15.903	15.975	18.03061	V	m3_data/M3-2_20210322_084245_Mar1mjhd_kait_V_c.fit
59295.363947	0.04167	15.709	15.676	15.742	17.86473	R	m3_data/M3-2_20210322_084405_Mar1mjht_kait_R_c.fit
59295.364838	0.04167	15.381	15.345	15.417	17.38748	I	m3_data/M3-2_20210322_084522_Mar1mjij_kait_I_c.fit
59295.366574	0.04167	16.301	16.259	16.343	17.57187	B	m3_data/M3-2_20210322_084752_Mar1mjjn_kait_B_c.fit
59295.367465	0.04167	15.974	15.943	16.005	17.67256	V	m3_data/M3-2_20210322_084909_Mar1mjkc_kait_V_c.fit
59295.36831	0.04167	15.675	15.641	15.709	17.79698	R	m3_data/M3-2_20210322_085022_Mar1mjks_kait_R_c.fit
59295.369213	0.04167	15.315	15.272	15.358	17.33375	I	m3_data/M3-2_20210322_085140_Mar1mjlg_kait_I_c.fit
59295.495648	0.04167	16.322	16.272	16.372	18.06613	B	m3_data/M3-2_20210322_115344_Mar1mmri_kait_B_c.fit
59295.496551	0.04167	15.986	15.946	16.026	17.98084	V	m3_data/M3-2_20210322_115502_Mar1mmrx_kait_V_c.fit
59295.497396	0.04167	15.749	15.706	15.792	17.63055	R	m3_data/M3-2_20210322_115615_Mar1mmsm_kait_R_c.fit
59295.498299	0.04167	15.386	15.336	15.436	16.94219	I	m3_data/M3-2_20210322_115733_Mar1mmtb_kait_I_c.fit
59295.500093	0.04167	16.318	16.273	16.363	17.7442	B	m3_data/M3-2_20210322_120008_Mar1mmuf_kait_B_c.fit
59295.500961	0.04167	15.972	15.937	16.007	17.5831	V	m3_data/M3-2_20210322_120123_Mar1mmuv_kait_V_c.fit
59295.501817	0.04167	15.687	15.651	15.723	17.33865	R	m3_data/M3-2_20210322_120237_Mar1mmvk_kait_R_c.fit
59295.502708	0.04167	15.339	15.3	15.378	16.83698	I	m3_data/M3-2_20210322_120354_Mar1mmvz_kait_I_c.fit
59295.504433	0.04167	16.327	16.275	16.379	17.74858	B	m3_data/M3-2_20210322_120623_Mar1mmxe_kait_B_c.fit
59295.505336	0.04167	15.954	15.921	15.987	17.5149	V	m3_data/M3-2_20210322_120741_Mar1mmxs_kait_V_c.fit
59295.506181	0.04167	15.676	15.645	15.707	17.25028	R	m3_data/M3-2_20210322_120854_Mar1mmyi_kait_R_c.fit
59295.50706	0.04167	15.335	15.295	15.375	16.73315	I	m3_data/M3-2_20210322_121010_Mar1mmyx_kait_I_c.fit
59300.339641	0.04167	15.14	15.115	15.165	17.41238	B	m3_data/M3-2_20210327_080905_Mar1rirq_kait_B_c.fit
59300.340532	0.04167	15.063	15.041	15.085	17.16038	V	m3_data/M3-2_20210327_081022_Mar1risf_kait_V_c.fit
59300.341389	0.04167	14.972	14.951	14.993	17.0984	R	m3_data/M3-2_20210327_081136_Mar1risu_kait_R_c.fit
59300.342361	0.04167	14.866	14.836	14.896	16.56419	I	m3_data/M3-2_20210327_081300_Mar1ritj_kait_I_c.fit
59300.344086	0.04167	15.14	15.111	15.169	17.48932	B	m3_data/M3-2_20210327_081529_Mar1riup_kait_B_c.fit
59300.344988	0.04167	15.076	15.057	15.095	17.53505	V	m3_data/M3-2_20210327_081647_Mar1rive_kait_V_c.fit
59300.345845	0.04167	14.998	14.975	15.021	17.45039	R	m3_data/M3-2_20210327_081801_Mar1rivt_kait_R_c.fit
59300.346736	0.04167	14.861	14.827	14.895	16.7486	I	m3_data/M3-2_20210327_081918_Mar1riwi_kait_I_c.fit
59300.348461	0.04167	15.15	15.125	15.175	17.72209	B	m3_data/M3-2_20210327_082147_Mar1rixm_kait_B_c.fit
59300.349352	0.04167	15.116	15.098	15.134	17.63642	V	m3_data/M3-2_20210327_082304_Mar1riyb_kait_V_c.fit
59300.350208	0.04167	15.042	15.022	15.062	17.58349	R	m3_data/M3-2_20210327_082418_Mar1riyr_kait_R_c.fit
59300.351111	0.04167	14.901	14.872	14.93	16.96648	I	m3_data/M3-2_20210327_082536_Mar1rizf_kait_I_c.fit
59302.471204	0.04167	15.455	15.38	15.53	16.10747	B	m3_data/M3-2_20210329_111832_Mar1tmbb_kait_B_c.fit
59302.472118	0.04167	15.482	15.413	15.551	15.80086	V	m3_data/M3-2_20210329_111951_Mar1tmbr_kait_V_c.fit
59302.472963	0.04167	15.57	15.491	15.649	15.80744	R	m3_data/M3-2_20210329_112104_Mar1tmcg_kait_R_c.fit
